Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-01-02,852.0,873.9,842.0,870.5,870.05,949967.0,8178.37
2017-01-03,870.0,889.0,859.25,880.55,884.0,1260264.0,11010.01
2017-01-04,887.1,891.0,868.0,871.0,871.9,971428.0,8507.11
2017-01-05,883.35,903.0,875.05,900.3,899.75,1423447.0,12631.93
2017-01-06,911.0,914.9,875.9,878.1,878.45,4040625.0,35931.3
2017-01-09,887.8,893.75,875.1,879.8,878.25,615381.0,5439.14
2017-01-10,884.7,901.95,880.05,899.9,899.75,1147293.0,10253.68
2017-01-11,905.0,909.5,891.0,893.0,896.15,2005189.0,18046.91
2017-01-12,902.5,909.95,886.0,892.0,891.2,737750.0,6615.6
2017-01-13,893.2,905.5,888.1,898.95,900.05,821185.0,7385.6
2017-01-16,900.0,920.1,894.45,918.5,917.7,1117504.0,10167.27
2017-01-17,923.9,924.6,910.5,913.5,914.35,849554.0,7784.14
2017-01-18,918.7,938.0,915.0,930.05,930.35,1525144.0,14197.61
2017-01-19,929.8,932.3,916.0,926.0,926.3,598997.0,5530.97
2017-01-20,924.8,930.0,904.0,905.9,907.7,697857.0,6386.76
2017-01-23,909.4,931.7,905.15,928.95,929.65,829648.0,7637.42
2017-01-24,934.95,934.95,921.0,928.1,929.75,826288.0,7673.24
2017-01-25,931.2,1006.0,931.2,1000.0,999.85,3874946.0,37954.7
2017-01-27,1000.0,1020.0,991.35,997.0,995.85,1386916.0,13903.98
2017-01-30,990.0,1059.0,989.15,1054.3,1054.8,4866384.0,50358.1
2017-01-31,1058.9,1072.0,1030.75,1034.15,1036.9,2304584.0,24290.3
2017-02-01,1039.0,1069.9,1025.0,1062.05,1066.15,1860379.0,19585.91
2017-02-02,1067.4,1083.95,1050.0,1052.5,1054.15,1681729.0,17883.77
2017-02-03,1055.3,1068.0,1042.3,1045.0,1047.35,903079.0,9507.83
2017-02-06,1056.0,1085.5,1050.1,1068.3,1073.7,1218063.0,13052.21
2017-02-07,1070.0,1075.0,1052.4,1063.45,1060.95,658786.0,7003.33
2017-02-08,1060.0,1069.4,1025.0,1048.05,1049.45,1046297.0,10949.64
2017-02-09,1058.0,1061.65,1026.0,1039.55,1040.85,916871.0,9531.39
2017-02-10,1045.2,1059.0,1038.0,1057.7,1055.45,643391.0,6749.16
2017-02-13,1057.0,1070.0,1043.25,1060.0,1058.95,484476.0,5126.55
2017-02-14,1064.0,1069.0,1055.0,1059.75,1059.5,438100.0,4650.22
2017-02-15,1060.3,1065.0,1029.0,1042.2,1040.4,679204.0,7105.65
2017-02-16,1040.9,1106.0,1035.0,1100.0,1094.35,1035007.0,11107.74
2017-02-17,1110.0,1118.0,1081.1,1084.9,1089.5,1408853.0,15484.11
2017-02-20,1092.95,1109.5,1035.0,1092.55,1095.9,617565.0,6769.37
2017-02-21,1092.2,1105.95,1085.0,1095.0,1095.9,335482.0,3677.94
2017-02-22,1095.0,1104.15,1065.0,1080.0,1076.25,1000632.0,10846.22
2017-02-23,1083.0,1099.0,1066.5,1068.3,1068.2,1196177.0,12889.39
2017-02-27,1070.85,1104.0,1069.0,1092.0,1091.6,1223440.0,13356.07
2017-02-28,1097.75,1119.0,1096.0,1113.1,1108.2,1257475.0,13971.12
2017-03-01,1120.0,1128.9,1070.6,1072.2,1075.85,2045087.0,22270.74
2017-03-02,1083.0,1089.6,1019.1,1048.0,1048.75,2587153.0,27191.95
2017-03-03,1047.5,1056.9,1024.15,1050.0,1046.25,1185751.0,12288.13
2017-03-06,1054.0,1056.0,1026.4,1035.45,1033.95,1176084.0,12183.65
2017-03-07,1034.9,1055.8,1022.4,1053.0,1052.4,1534634.0,15995.39
2017-03-08,1057.75,1084.0,1049.0,1080.0,1081.2,1763414.0,18830.6
2017-03-09,1074.7,1095.0,1068.0,1083.0,1087.2,1391444.0,15102.77
2017-03-10,1092.5,1100.0,1085.1,1089.35,1094.5,748405.0,8177.23
2017-03-14,1112.0,1135.45,1103.4,1125.15,1126.7,1254682.0,14089.62
2017-03-15,1129.0,1143.2,1124.25,1128.3,1134.55,781510.0,8883.62
2017-03-16,1139.7,1178.0,1130.85,1171.95,1163.5,1234503.0,14237.23
2017-03-17,1170.0,1183.7,1151.3,1156.4,1159.3,822826.0,9580.47
2017-03-20,1165.0,1192.3,1142.75,1180.0,1172.55,978371.0,11364.46
2017-03-21,1172.05,1184.95,1146.0,1170.0,1174.55,2284752.0,26768.74
2017-03-22,1155.1,1167.95,1150.0,1157.0,1159.7,691551.0,8014.28
2017-03-23,1161.5,1191.7,1161.5,1183.1,1185.75,873741.0,10298.08
2017-03-24,1190.4,1198.0,1170.55,1180.0,1177.05,668010.0,7930.08
2017-03-27,1177.0,1189.0,1171.0,1186.0,1185.0,479265.0,5658.26
2017-03-28,1194.0,1206.0,1186.75,1194.4,1194.75,809959.0,9696.88
2017-03-29,1199.4,1205.0,1172.0,1178.05,1180.75,632607.0,7504.13
2017-03-30,1180.0,1190.1,1173.0,1183.0,1181.05,657966.0,7772.47
2017-03-31,1188.0,1188.0,1167.5,1173.95,1171.1,474585.0,5564.16
2017-04-03,1170.05,1189.0,1162.0,1179.0,1181.75,473642.0,5569.77
2017-04-05,1190.0,1190.0,1165.0,1172.0,1173.1,680777.0,7988.4
2017-04-06,1177.8,1204.05,1165.75,1198.5,1198.1,856876.0,10151.83
2017-04-07,1198.0,1224.0,1192.2,1206.15,1201.6,1099961.0,13347.85
2017-04-10,1201.7,1252.0,1190.0,1246.0,1240.75,1046689.0,12797.58
2017-04-11,1246.0,1274.0,1242.0,1255.0,1255.95,1142967.0,14347.65
2017-04-12,1260.0,1278.0,1248.0,1270.0,1266.2,1062045.0,13429.19
2017-04-13,1267.8,1292.0,1261.0,1276.0,1273.9,613348.0,7798.67
2017-04-17,1274.9,1282.0,1246.55,1250.0,1259.55,609476.0,7716.99
2017-04-18,1254.4,1270.7,1229.9,1239.0,1236.05,583708.0,7330.0
2017-04-19,1237.8,1252.5,1217.55,1250.0,1242.95,777297.0,9601.68
2017-04-20,1253.0,1258.5,1243.0,1249.65,1252.0,443637.0,5552.0
2017-04-21,1252.0,1259.9,1236.3,1245.05,1246.95,380126.0,4747.41
2017-04-24,1251.1,1275.0,1242.1,1274.0,1271.75,475488.0,5996.03
2017-04-25,1279.0,1349.0,1276.0,1341.9,1341.7,2092724.0,27666.99
2017-04-26,1345.0,1349.9,1301.55,1310.7,1309.7,1207320.0,15986.67
2017-04-27,1315.0,1315.85,1278.05,1285.55,1285.7,1627631.0,20984.09
2017-04-28,1278.05,1295.0,1268.75,1275.0,1276.2,1183154.0,15133.69
2017-05-02,1281.9,1286.15,1257.0,1269.9,1268.6,708574.0,9020.3
2017-05-03,1270.0,1282.8,1260.0,1270.8,1270.1,1086778.0,13808.44
2017-05-04,1271.25,1311.9,1271.25,1296.1,1296.55,1121302.0,14557.67
2017-05-05,1295.0,1303.0,1264.9,1270.05,1274.25,467205.0,5987.56
2017-05-08,1270.25,1286.35,1260.5,1275.5,1272.0,471627.0,5997.66
2017-05-09,1275.0,1292.9,1264.5,1292.45,1286.1,567703.0,7251.73
2017-05-10,1295.0,1331.0,1293.55,1328.0,1327.0,1302185.0,17159.63
2017-05-11,1334.95,1344.9,1318.45,1333.75,1339.7,672768.0,8959.12
2017-05-12,1332.0,1339.0,1305.0,1313.3,1314.75,438863.0,5787.92
2017-05-15,1323.0,1348.5,1317.65,1332.0,1332.95,634195.0,8472.58
2017-05-16,1337.4,1358.8,1327.2,1346.0,1347.75,788530.0,10605.42
2017-05-17,1350.0,1374.0,1297.5,1320.0,1324.8,2408302.0,32355.7
2017-05-18,1299.0,1343.0,1296.05,1310.7,1314.55,1210985.0,16057.28
2017-05-19,1324.0,1333.9,1265.55,1288.0,1289.15,1167010.0,15122.26
2017-05-22,1299.0,1304.0,1237.35,1240.0,1242.15,873873.0,11054.44
2017-05-23,1249.9,1265.0,1190.55,1230.7,1233.75,1348383.0,16598.68
2017-05-24,1234.0,1254.9,1210.0,1225.0,1224.35,787101.0,9692.31
2017-05-25,1230.0,1268.0,1228.25,1263.0,1258.85,905807.0,11323.95
2017-05-26,1261.7,1326.7,1261.7,1314.85,1317.8,1306793.0,17057.02
2017-05-29,1319.4,1333.0,1301.9,1309.95,1307.45,652289.0,8600.93
2017-05-30,1305.2,1324.9,1303.7,1322.35,1321.55,513005.0,6758.52
2017-05-31,1323.0,1334.9,1316.1,1329.4,1326.95,726284.0,9635.18
2017-06-01,1334.0,1339.0,1320.25,1323.8,1327.35,387968.0,5157.44
2017-06-02,1332.4,1365.0,1318.0,1362.0,1361.25,668081.0,8993.49
2017-06-05,1368.55,1372.65,1348.05,1361.75,1363.1,570009.0,7762.68
2017-06-06,1363.4,1367.9,1325.0,1333.65,1336.65,601678.0,8075.15
2017-06-07,1341.1,1360.0,1335.1,1341.3,1343.15,550988.0,7420.07
2017-06-08,1344.9,1372.0,1344.7,1360.0,1361.7,570819.0,7767.48
2017-06-09,1358.0,1382.0,1343.7,1370.0,1376.85,530582.0,7255.42
2017-06-12,1369.95,1383.0,1356.55,1369.0,1364.95,370028.0,5059.78
2017-06-13,1374.0,1380.0,1361.0,1362.0,1371.5,435644.0,5984.11
2017-06-14,1374.2,1375.0,1354.0,1360.0,1361.0,634727.0,8665.84
2017-06-15,1361.1,1413.0,1352.2,1409.3,1405.25,1569774.0,21759.72
2017-06-16,1415.0,1424.85,1403.3,1406.0,1410.3,824516.0,11667.27
2017-06-19,1405.2,1421.7,1395.6,1400.1,1399.85,426223.0,5990.92
2017-06-20,1407.7,1432.9,1395.05,1411.5,1409.6,781161.0,11078.41
2017-06-21,1404.8,1426.0,1401.0,1419.9,1416.65,449181.0,6363.49
2017-06-22,1419.0,1427.0,1395.3,1400.0,1401.8,477586.0,6738.43
2017-06-23,1405.0,1415.5,1366.0,1400.0,1400.75,620781.0,8640.46
2017-06-27,1400.0,1400.0,1336.75,1341.0,1349.95,1053829.0,14351.43
2017-06-28,1341.0,1377.0,1313.9,1371.0,1372.35,998218.0,13514.9
2017-06-29,1379.0,1394.85,1366.5,1369.65,1376.3,726869.0,10038.65
2017-06-30,1367.6,1380.0,1352.5,1373.55,1373.1,496260.0,6769.01
2017-07-03,1380.0,1390.0,1366.5,1384.0,1387.15,446514.0,6164.91
2017-07-04,1390.0,1408.75,1376.55,1378.0,1379.55,704342.0,9776.78
2017-07-05,1375.0,1407.0,1370.1,1399.0,1398.55,643929.0,8960.94
2017-07-06,1398.9,1413.5,1392.35,1397.5,1399.3,418130.0,5873.76
2017-07-07,1398.5,1403.6,1387.4,1393.0,1391.7,202005.0,2818.12
2017-07-10,1451.55,1451.55,1395.1,1411.55,1412.8,150018.0,2115.61
2017-07-11,1419.4,1431.0,1409.6,1422.0,1419.2,665556.0,9466.04
2017-07-12,1424.5,1452.0,1420.0,1452.0,1443.7,654934.0,9404.2
2017-07-13,1452.0,1489.5,1450.9,1482.1,1485.9,1011798.0,14904.62
2017-07-14,1485.0,1508.65,1470.65,1495.0,1499.4,570522.0,8492.22
2017-07-17,1504.95,1549.7,1488.05,1538.55,1538.5,947006.0,14444.38
2017-07-18,1537.95,1545.15,1507.0,1514.95,1512.35,501708.0,7648.54
2017-07-19,1519.65,1577.4,1515.0,1544.0,1541.85,2655273.0,41106.42
2017-07-20,1551.0,1608.0,1547.1,1587.25,1595.35,2169635.0,34438.91
2017-07-21,1598.9,1631.5,1585.0,1623.0,1621.35,1380541.0,22280.31
2017-07-24,1633.0,1637.3,1587.95,1602.0,1597.4,835475.0,13444.2
2017-07-25,1606.9,1632.9,1600.0,1632.7,1627.5,813854.0,13194.37
2017-07-26,1636.0,1695.75,1630.0,1691.15,1687.15,1475906.0,24580.51
2017-07-27,1704.0,1739.8,1671.1,1673.9,1679.35,1955562.0,33436.21
2017-07-28,1672.0,1710.9,1662.55,1702.2,1701.35,926268.0,15697.96
2017-07-31,1718.0,1724.0,1697.6,1705.65,1703.1,576928.0,9856.16
2017-08-01,1709.9,1727.9,1706.05,1718.0,1716.25,692591.0,11904.4
2017-08-02,1724.95,1726.2,1691.1,1705.0,1707.2,396171.0,6770.06
2017-08-03,1714.0,1729.0,1698.05,1708.0,1701.75,775709.0,13291.44
2017-08-04,1704.9,1730.0,1701.05,1729.55,1723.45,710636.0,12184.61
2017-08-07,1735.5,1805.95,1729.6,1800.0,1798.15,1504033.0,26792.98
2017-08-08,1813.0,1829.5,1772.0,1778.0,1779.8,1761065.0,31665.06
2017-08-09,1769.9,1769.9,1682.55,1693.0,1697.7,1899560.0,32772.24
2017-08-10,1680.0,1689.9,1610.05,1650.0,1635.6,1835002.0,30379.78
2017-08-11,1590.0,1732.6,1590.0,1704.9,1695.4,3505576.0,58843.68
2017-08-14,1721.3,1742.35,1705.0,1717.0,1710.9,1311855.0,22545.01
2017-08-16,1730.0,1730.0,1683.2,1725.0,1721.35,705754.0,12028.79
2017-08-17,1730.0,1762.5,1720.5,1722.0,1728.75,729269.0,12693.67
2017-08-18,1710.0,1722.9,1688.5,1701.0,1704.95,932335.0,15900.85
2017-08-21,1704.95,1731.0,1678.55,1685.2,1690.6,1090057.0,18670.01
2017-08-22,1708.0,1713.6,1662.55,1683.0,1682.9,654334.0,11059.93
2017-08-23,1695.9,1784.7,1695.9,1779.0,1779.3,1825088.0,31950.77
2017-08-24,1791.4,1797.7,1752.8,1761.9,1760.1,1324532.0,23478.15
2017-08-28,1773.5,1837.4,1767.0,1831.0,1829.95,1347345.0,24432.73
2017-08-29,1835.0,1835.0,1762.0,1770.0,1773.4,1482257.0,26576.8
2017-08-30,1798.0,1819.4,1777.05,1788.0,1788.05,1064601.0,19178.43
2017-08-31,1797.4,1805.7,1770.0,1790.0,1781.9,1116765.0,19961.87
2017-09-01,1790.0,1807.0,1790.0,1799.95,1799.95,489396.0,8805.27
2017-09-04,1797.95,1820.0,1775.55,1801.0,1801.35,658965.0,11852.98
2017-09-05,1809.85,1815.3,1784.55,1793.0,1794.4,741229.0,13332.36
2017-09-06,1782.0,1883.0,1777.7,1859.7,1858.95,2742892.0,50616.05
2017-09-07,1880.0,1985.9,1871.15,1963.0,1963.2,4271734.0,82336.49
2017-09-08,1970.0,1974.95,1881.0,1888.0,1891.2,2856329.0,54621.11
2017-09-11,1900.0,1935.45,1898.05,1921.3,1920.45,1098804.0,21111.97
2017-09-12,1935.0,1935.0,1886.6,1894.0,1894.4,1473997.0,27971.73
2017-09-13,1895.0,1924.7,1895.0,1910.6,1907.15,810810.0,15502.21
2017-09-14,1913.0,1935.5,1901.0,1913.9,1909.9,951870.0,18243.61
2017-09-15,1895.6,1912.1,1881.4,1903.55,1902.75,922149.0,17501.85
2017-09-18,1916.0,1929.25,1906.6,1912.5,1911.65,430947.0,8268.2
2017-09-19,1924.1,1928.7,1904.05,1912.0,1911.8,598020.0,11462.72
2017-09-20,1918.8,1918.85,1900.0,1904.5,1904.9,377551.0,7201.98
2017-09-21,1908.0,1926.0,1871.55,1916.6,1919.5,754880.0,14347.48
2017-09-22,1910.0,1910.0,1847.0,1858.0,1863.15,1772943.0,33121.26
2017-09-25,1859.95,1859.95,1759.0,1799.7,1796.0,1826884.0,32921.27
2017-09-26,1796.0,1862.8,1780.95,1839.0,1840.1,1044947.0,19016.11
2017-09-27,1859.0,1859.0,1795.25,1808.2,1806.75,764148.0,13909.4
