Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-01-02,1011.1,1012.95,999.35,1002.9,1001.1,1167611.0,11726.94
2017-01-03,1004.1,1004.9,982.0,995.05,993.85,3389241.0,33542.25
2017-01-04,995.05,1004.2,992.25,992.45,997.75,3536793.0,35330.38
2017-01-05,1001.6,1009.5,988.75,996.2,996.15,4103537.0,41043.25
2017-01-06,994.9,998.85,968.05,977.3,972.25,7196724.0,70073.93
2017-01-09,972.25,976.95,965.0,970.0,970.35,5272846.0,51098.34
2017-01-10,977.0,981.0,967.95,971.15,970.55,5969927.0,58131.6
2017-01-11,974.2,978.45,963.95,969.4,969.1,6120787.0,59235.62
2017-01-12,977.55,1004.4,977.55,1001.5,1000.05,5927870.0,58825.74
2017-01-13,1030.0,1040.0,962.7,972.6,975.8,15638123.0,155271.53
2017-01-16,965.0,965.45,952.45,957.45,955.65,6175686.0,59231.33
2017-01-17,956.25,964.0,952.4,955.55,955.4,2780047.0,26633.86
2017-01-18,958.1,961.0,949.8,950.9,950.8,2976481.0,28443.24
2017-01-19,951.0,959.6,948.1,957.5,958.1,4438240.0,42340.69
2017-01-20,950.0,953.15,946.0,946.15,948.7,4562371.0,43297.03
2017-01-23,945.0,958.0,940.0,952.95,952.7,3974290.0,37892.79
2017-01-24,950.0,950.0,940.1,946.05,945.55,3413005.0,32219.53
2017-01-25,946.1,946.8,934.8,936.55,936.6,4989045.0,46883.55
2017-01-27,933.85,947.55,901.15,942.65,942.15,5317569.0,49942.64
2017-01-30,937.5,951.5,928.85,948.05,949.35,5684604.0,53638.34
2017-01-31,941.5,941.5,904.35,929.4,928.6,12034267.0,111325.73
2017-02-01,921.1,923.2,905.15,916.0,916.75,5765891.0,52683.76
2017-02-02,917.0,945.0,910.1,934.7,935.9,5914134.0,55106.13
2017-02-03,933.8,940.9,921.05,934.05,936.1,4211979.0,39169.8
2017-02-06,937.25,943.75,930.55,934.0,935.25,3363967.0,31483.63
2017-02-07,933.0,949.8,928.55,946.0,942.25,4634001.0,43437.04
2017-02-08,936.0,944.1,932.45,934.0,936.5,3159981.0,29592.55
2017-02-09,937.0,950.0,936.55,946.0,946.0,5953633.0,56237.26
2017-02-10,946.25,972.0,943.3,967.0,968.3,6126226.0,58788.68
2017-02-13,972.85,986.1,962.85,984.0,984.35,6862134.0,67140.84
2017-02-14,980.0,989.0,972.35,987.75,987.7,4669409.0,45893.93
2017-02-15,989.2,998.8,968.8,982.15,981.8,3629743.0,35737.55
2017-02-16,991.0,1013.9,990.05,1012.0,1012.1,6407929.0,64372.18
2017-02-17,1013.75,1013.75,992.7,999.0,1000.1,2425604.0,24258.27
2017-02-20,996.5,1031.0,993.5,1030.0,1010.25,2325331.0,23311.29
2017-02-21,1022.1,1024.5,1000.05,1011.0,1013.6,3806998.0,38620.11
2017-02-22,1015.0,1015.0,986.4,991.0,990.15,3303919.0,32853.54
2017-02-23,998.9,1020.0,993.35,1006.55,1008.85,4771328.0,48169.16
2017-02-27,1007.3,1023.0,1006.95,1013.05,1012.4,2664348.0,27107.15
2017-02-28,1011.85,1022.7,1009.25,1012.0,1012.4,2970066.0,30140.23
2017-03-01,1012.0,1027.0,1010.1,1025.25,1025.15,2141224.0,21930.96
2017-03-02,1024.4,1028.0,1016.5,1018.9,1023.3,1474249.0,15096.99
2017-03-03,1010.25,1034.3,1000.4,1032.15,1031.2,2700806.0,27577.28
2017-03-06,1020.05,1035.95,1019.7,1033.0,1033.9,2643193.0,27235.33
2017-03-07,1022.0,1025.8,1014.7,1018.8,1019.8,2322248.0,23692.68
2017-03-08,1016.9,1016.9,1004.45,1008.15,1007.8,3089588.0,31174.66
2017-03-09,1007.8,1013.0,999.0,1011.2,1011.55,1740315.0,17540.28
2017-03-10,1015.0,1027.65,1013.4,1021.5,1021.85,2275162.0,23246.58
2017-03-14,1022.8,1041.9,1022.8,1035.3,1034.8,3939198.0,40736.12
2017-03-15,1034.9,1034.9,1007.5,1011.2,1011.95,3186989.0,32309.89
2017-03-16,1013.3,1031.7,1013.3,1029.0,1028.85,3351478.0,34348.95
2017-03-17,1035.4,1042.9,1019.25,1039.0,1040.3,4753923.0,49156.87
2017-03-20,1026.55,1026.55,1015.1,1020.3,1021.5,2213694.0,22586.53
2017-03-21,1020.9,1034.95,1018.8,1028.8,1032.85,2434792.0,25054.12
2017-03-22,1022.45,1039.95,1020.4,1027.5,1027.7,1995426.0,20528.72
2017-03-23,1028.25,1043.0,1026.6,1040.25,1040.45,2250831.0,23375.55
2017-03-24,1038.0,1044.0,1027.7,1028.1,1031.4,2441948.0,25231.67
2017-03-27,1027.2,1041.85,1024.5,1035.0,1028.85,3842412.0,39686.17
2017-03-28,1031.5,1039.0,1030.05,1038.95,1035.15,2398398.0,24828.5
2017-03-29,1034.3,1041.5,1025.85,1033.8,1031.85,3490593.0,36039.39
2017-03-30,1034.0,1035.9,1020.25,1023.0,1025.5,6078590.0,62370.92
2017-03-31,1023.25,1029.3,1008.0,1022.5,1022.25,7076927.0,72148.32
2017-04-03,1032.15,1032.45,1006.1,1010.3,1008.8,2157800.0,21812.87
2017-04-05,1005.0,1005.4,991.0,995.2,995.95,3699169.0,36912.75
2017-04-06,998.15,1005.8,992.0,997.45,999.6,2689504.0,26907.29
2017-04-07,1000.9,1000.9,979.0,982.6,981.55,3202254.0,31560.05
2017-04-10,984.9,989.5,950.1,951.05,953.4,4764236.0,45975.14
2017-04-11,956.05,971.7,956.05,968.0,967.15,4327733.0,41814.69
2017-04-12,970.0,976.9,960.35,967.85,968.85,3348376.0,32451.03
2017-04-13,970.0,990.0,926.65,932.9,931.4,15486594.0,146031.61
2017-04-17,930.0,932.1,923.5,924.75,924.9,3606717.0,33407.82
2017-04-18,924.75,934.0,919.1,923.05,922.65,2323759.0,21509.86
2017-04-19,923.0,930.0,912.65,919.4,919.2,5035851.0,46185.42
2017-04-20,921.5,929.7,918.55,928.15,927.3,2274500.0,21027.8
2017-04-21,934.8,934.8,921.1,922.5,923.7,1788733.0,16553.46
2017-04-24,917.5,928.5,913.0,927.0,926.55,2778333.0,25556.23
2017-04-25,925.9,933.0,920.55,929.6,929.35,2368530.0,22009.92
2017-04-26,929.95,935.55,910.2,914.15,914.25,4542248.0,41651.68
2017-04-27,916.0,929.0,916.0,927.2,925.25,3898604.0,36015.22
2017-04-28,926.85,927.4,915.6,921.0,918.95,2514851.0,23131.16
2017-05-02,924.0,926.4,915.1,923.15,922.6,1615563.0,14889.84
