Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-01-02,2366.6,2375.1,2352.4,2360.0,2361.35,411566.0,9736.27
2017-01-03,2361.25,2371.7,2343.3,2361.0,2368.25,737662.0,17394.32
2017-01-04,2369.7,2388.85,2358.3,2377.95,2379.5,710033.0,16857.75
2017-01-05,2384.0,2389.95,2320.4,2334.0,2334.4,1108202.0,26058.74
2017-01-06,2321.0,2329.35,2257.1,2284.0,2281.4,1504948.0,34425.89
2017-01-09,2275.0,2311.3,2257.0,2308.0,2303.7,927289.0,21183.04
2017-01-10,2304.0,2329.8,2291.5,2314.0,2315.35,766957.0,17740.98
2017-01-11,2315.0,2329.6,2280.2,2325.0,2324.4,965648.0,22292.27
2017-01-12,2324.4,2360.0,2304.0,2347.0,2344.35,1285187.0,30004.96
2017-01-13,2348.0,2357.95,2237.85,2250.0,2249.3,5117790.0,116517.77
2017-01-16,2250.0,2273.9,2228.0,2261.8,2258.55,1682404.0,37954.29
2017-01-17,2254.9,2287.8,2252.8,2280.0,2278.75,1504978.0,34270.02
2017-01-18,2278.0,2298.0,2265.45,2295.0,2295.1,1568287.0,35793.02
2017-01-19,2295.0,2295.15,2282.95,2290.0,2291.0,1125838.0,25774.01
2017-01-20,2287.0,2300.0,2265.0,2288.0,2285.35,1018623.0,23255.92
2017-01-23,2265.0,2313.5,2259.8,2307.1,2306.7,1159273.0,26640.66
2017-01-24,2304.0,2323.0,2290.0,2320.0,2318.35,1141319.0,26366.71
2017-01-25,2322.6,2360.0,2318.05,2357.0,2353.0,2055824.0,48151.0
2017-01-27,2345.05,2378.75,2345.05,2359.0,2357.8,1435829.0,33950.68
2017-01-30,2341.0,2351.95,2318.15,2338.85,2332.9,1288978.0,30065.38
2017-01-31,2320.0,2332.05,2200.05,2232.0,2229.8,2333402.0,52303.22
2017-02-01,2220.0,2239.95,2155.55,2164.9,2167.9,2432076.0,52917.12
2017-02-02,2170.05,2219.0,2153.0,2204.45,2207.65,3004741.0,65535.91
2017-02-03,2209.7,2243.0,2191.0,2238.8,2232.55,1076686.0,23919.54
2017-02-06,2258.0,2258.5,2214.95,2242.0,2240.75,1204455.0,26908.66
2017-02-07,2244.0,2252.6,2226.0,2245.9,2244.6,907319.0,20352.76
2017-02-08,2244.9,2282.6,2244.05,2281.0,2270.95,1106292.0,25119.77
2017-02-09,2275.0,2328.0,2270.2,2317.0,2317.3,2016601.0,46539.44
2017-02-10,2311.0,2424.45,2311.0,2382.9,2397.95,2891080.0,68330.47
2017-02-13,2396.0,2429.0,2382.35,2409.1,2414.25,1909906.0,46036.67
2017-02-14,2419.65,2419.65,2398.0,2398.15,2406.25,1016664.0,24500.97
2017-02-15,2397.0,2428.0,2375.1,2423.45,2413.7,962486.0,23153.28
2017-02-16,2460.0,2478.0,2435.6,2450.0,2447.75,2087840.0,51209.37
2017-02-17,2472.0,2475.6,2402.0,2415.0,2407.9,1361662.0,32969.54
2017-02-20,2425.0,2555.0,2408.1,2505.0,2502.2,1986974.0,49255.32
2017-02-21,2514.0,2525.9,2455.15,2461.5,2465.35,2750556.0,68498.04
2017-02-22,2465.9,2470.0,2400.15,2409.95,2411.5,2252748.0,54617.97
2017-02-23,2415.0,2493.25,2415.0,2479.0,2481.8,2426676.0,59881.4
2017-02-27,2479.1,2502.0,2470.05,2492.0,2489.85,1069946.0,26633.32
2017-02-28,2489.5,2490.0,2450.0,2460.0,2466.25,1177414.0,29031.54
2017-03-01,2479.9,2501.9,2470.0,2475.3,2479.55,565187.0,14051.36
2017-03-02,2486.7,2510.0,2470.05,2503.2,2501.45,772471.0,19294.38
2017-03-03,2492.0,2499.7,2475.4,2490.0,2494.05,506985.0,12616.17
2017-03-06,2480.0,2484.0,2454.55,2477.4,2472.5,700347.0,17281.72
2017-03-07,2482.9,2505.0,2475.05,2505.0,2499.8,755836.0,18854.64
2017-03-08,2502.0,2520.0,2492.2,2515.5,2512.2,895755.0,22449.67
2017-03-09,2514.15,2524.0,2504.05,2522.0,2519.75,429234.0,10801.99
2017-03-10,2519.6,2549.55,2513.95,2542.3,2542.25,585710.0,14865.9
2017-03-14,2556.8,2587.15,2551.05,2569.85,2567.5,1701147.0,43720.98
2017-03-15,2572.0,2572.15,2493.85,2499.0,2498.3,1511248.0,37972.87
2017-03-16,2506.0,2527.0,2506.0,2521.95,2520.9,785909.0,19795.65
2017-03-17,2546.0,2546.0,2509.75,2532.15,2525.75,1296576.0,32752.8
